iter	Passed	Remaining
194	314	1297
195	315	1292
196	315	1287
197	316	1282
198	317	1277
199	318	1273
200	319	1268
201	319	1263
202	320	1259
203	321	1254
204	322	1250
205	323	1245
206	323	1241
207	324	1236
208	325	1232
209	326	1228
210	327	1224
211	328	1221
212	329	1217
213	330	1213
214	331	1208
215	331	1204
216	332	1200
217	333	1196
218	334	1192
219	335	1189
220	336	1185
221	337	1181
222	337	1177
223	338	1173
224	339	1170
225	340	1166
226	341	1162
227	342	1158
228	343	1154
229	343	1151
230	344	1147
231	345	1143
232	346	1139
233	347	1136
234	347	1132
235	348	1129
236	349	1125
237	350	1122
238	351	1119
239	352	1115
240	353	1112
241	354	1109
242	354	1105
243	355	1102
244	356	1099
245	357	1095
246	358	1092
247	359	1089
248	360	1086
249	360	1082
250	361	1079
251	362	1076
252	363	1073
253	364	1070
254	365	1067
255	366	1064
256	367	1061
257	367	1058
258	368	1055
259	369	1053
260	371	1050
261	372	1048
262	373	1046
263	374	1044
264	375	1042
265	376	1039
266	377	1036
267	378	1033
268	379	1030
269	380	1028
270	381	1025
271	382	1022
272	383	1020
273	383	1017
274	384	1014
275	385	1011
276	386	1008
277	387	1005
278	388	1003
279	389	1000
280	390	998
281	391	995
282	392	993
283	392	990
284	393	987
285	394	984
286	395	982
287	396	979
288	397	977
289	398	975
290	399	972
291	399	969
292	400	966
293	401	963
294	402	961
295	403	958
296	403	956
297	404	953
298	405	950
299	406	948
300	407	946
301	408	943
302	409	941
303	410	939
304	411	936
305	412	934
306	412	931
307	413	929
308	414	926
309	415	923
310	415	921
311	416	918
312	417	916
313	418	914
314	419	912
315	420	910
316	421	907
317	421	904
318	422	902
319	423	899
320	424	897
321	425	895
322	426	893
323	427	891
324	427	888
325	428	886
326	429	884
327	430	881
328	431	879
329	432	877
330	433	875
331	433	873
332	434	871
333	435	869
334	436	866
335	437	864
336	438	862
337	438	859
338	439	857
339	440	855
340	441	853
341	442	850
342	443	848
343	443	846
344	444	843
345	445	841
346	446	839
347	447	838
348	448	836
349	449	834
350	449	831
351	450	829
352	451	827
353	453	827
354	455	826
355	456	826
356	457	824
357	458	822
358	459	821
359	461	819
360	462	818
361	464	818
362	465	817
363	468	818
364	469	816
365	472	817
366	477	822
367	478	821
368	479	819
369	480	818
370	482	817
371	483	815
372	484	814
373	486	813
374	488	814
375	490	813
376	493	815
377	494	814
378	495	812
379	497	811
380	498	809
381	499	807
382	499	805
383	500	803
384	501	801
385	502	799
386	503	797
387	504	796
388	505	794
389	506	792
390	507	790
391	508	789
392	509	787
393	510	785
394	511	783
395	512	781
396	513	779
397	514	778
398	515	776
399	516	774
400	517	772
401	518	770
402	518	768
403	519	767
404	520	765
405	521	763
406	522	761
407	523	759
408	524	757
409	524	755
410	525	753
411	526	751
412	527	750
413	528	748
414	529	746
415	530	744
416	531	742
417	531	740
418	533	739
419	534	737
420	535	736
421	536	734
422	538	734
423	539	732
424	540	730
425	541	728
426	541	727
427	542	725
428	543	723
429	544	722
430	545	720
431	546	718
432	547	716
433	548	715
434	550	714
435	550	712
436	551	711
437	552	709
438	553	707
439	554	705
440	555	703
441	555	701
442	556	699
443	557	698
444	558	696
445	559	694
446	560	693
447	561	691
448	561	689
449	563	688
450	564	687
451	565	685
452	566	684
453	567	682
454	568	680
455	569	678
456	569	677
457	570	675
458	571	673
459	572	672
460	573	670
461	574	668
462	575	666
463	575	665
464	576	663
465	577	662
466	578	660
467	579	658
468	580	657
469	581	655
470	582	653
471	583	652
472	584	650
473	584	648
474	585	647
475	586	645
476	587	644
477	588	642
478	589	640
479	589	638
480	590	637
481	591	635
482	592	633
483	593	632
484	594	631
485	595	629
486	596	628
487	597	626
488	598	624
489	598	623
490	599	621
491	600	620
492	601	618
493	602	616
494	603	615
495	603	613
496	604	611
497	605	610
498	606	608
499	607	607
500	608	606
501	609	604
502	610	602
503	611	601
504	611	599
505	612	598
506	613	596
507	614	595
508	615	594
509	616	592
510	618	591
511	618	589
512	619	588
513	620	586
514	621	585
515	622	584
516	623	582
517	624	581
518	625	579
519	626	578
520	626	576
521	627	574
522	628	573
523	629	571
524	629	569
525	630	568
526	631	566
527	632	565
528	633	563
529	634	562
530	635	561
531	636	560
532	637	558
533	638	557
534	639	555
535	640	554
536	640	552
537	641	551
538	642	549
539	643	547
540	643	546
541	644	544
542	645	543
543	646	541
544	647	540
545	647	538
546	648	537
547	649	535
548	650	534
549	650	532
550	652	531
551	652	529
552	653	528
553	654	526
554	655	525
555	655	523
556	656	522
557	658	521
558	658	519
559	659	518
560	660	517
561	661	515
562	662	514
563	663	512
564	663	511
565	664	509
566	665	508
567	666	506
568	667	505
569	668	504
570	669	502
571	670	501
572	671	500
573	672	498
574	673	497
575	673	496
576	675	494
577	676	493
578	677	492
579	678	491
580	680	490
581	681	489
582	682	488
583	683	487
584	684	485
585	686	485
586	689	484
587	690	483
588	692	483
589	693	482
590	695	481
591	697	480
592	698	479
593	700	478
594	701	477
595	702	476
596	703	474
597	704	473
598	705	472
599	707	471
600	709	470
601	710	469
602	711	468
603	711	466
604	713	465
605	714	464
606	715	462
607	715	461
608	716	460
609	717	458
610	718	457
611	719	455
612	719	454
613	720	453
614	721	451
615	722	450
616	723	448
617	723	447
618	724	446
619	725	444
620	727	443
621	728	442
622	729	441
623	730	440
624	731	438
625	732	437
626	733	436
627	733	434
628	734	433
629	735	431
630	736	430
631	737	429
632	738	427
633	738	426
634	739	425
635	740	423
636	741	422
637	741	420
638	742	419
639	744	418
640	744	417
641	745	415
642	746	414
643	747	413
644	748	411
645	748	410
646	749	409
647	750	407
648	751	406
649	752	405
650	753	403
651	754	402
652	754	401
653	755	399
654	756	398
655	757	397
656	758	395
657	759	394
658	759	393
659	760	391
660	761	390
661	762	389
662	763	387
663	764	386
664	764	385
665	765	383
666	766	382
667	767	381
668	768	380
669	768	378
670	769	377
671	770	376
672	771	374
673	772	373
674	773	372
675	773	370
676	774	369
677	775	368
678	776	366
679	776	365
680	777	364
681	778	362
682	779	361
683	779	360
684	780	359
685	781	357
686	782	356
687	783	355
688	784	354
689	785	352
690	785	351
691	786	350
692	787	348
693	788	347
694	789	346
695	789	345
696	790	343
697	791	342
698	792	341
699	793	339
700	793	338
701	794	337
702	795	335
703	796	334
704	797	333
705	798	332
706	798	331
707	799	329
708	800	328
709	801	327
710	802	326
711	803	324
712	804	323
713	804	322
714	805	321
715	806	319
716	807	318
717	808	317
718	808	316
719	809	314
720	810	313
721	811	312
722	812	311
723	813	309
724	813	308
725	814	307
726	815	306
727	816	304
728	817	303
729	818	302
730	819	301
731	820	300
732	820	299
733	821	297
734	822	296
735	823	295
736	825	294
737	826	293
738	826	291
739	827	290
740	828	289
741	829	288
742	829	287
743	830	285
744	831	284
745	832	283
746	832	282
747	833	280
748	834	279
749	835	278
750	836	277
751	837	276
752	838	274
753	839	273
754	839	272
755	840	271
756	841	270
757	842	268
758	843	267
759	844	266
760	844	265
761	845	264
762	846	262
763	847	261
764	848	260
765	848	259
766	849	258
767	850	256
768	851	255
769	852	254
770	853	253
771	853	252
772	854	251
773	855	249
774	856	248
775	857	247
776	857	246
777	858	245
778	859	243
779	860	242
780	861	241
781	861	240
782	862	239
783	863	237
784	864	236
785	864	235
786	865	234
787	866	233
788	867	231
789	868	230
790	869	229
791	869	228
792	870	227
793	871	226
794	872	224
795	873	223
796	874	222
797	874	221
798	875	220
799	876	219
800	877	217
801	877	216
802	878	215
803	879	214
804	880	213
805	880	212
806	881	210
807	882	209
808	883	208
809	884	207
810	885	206
811	885	205
812	886	203
813	887	202
814	888	201
815	888	200
816	889	199
817	890	198
818	892	197
819	894	196
820	895	195
821	898	194
822	899	193
823	901	192
824	902	191
825	904	190
826	904	189
827	905	188
828	906	187
829	907	185
830	908	184
831	909	183
832	910	182
833	911	181
834	912	180
835	913	179
836	914	178
837	915	176
838	916	175
839	918	174
840	919	173
841	920	172
842	921	171
843	922	170
844	924	169
845	925	168
846	927	167
847	928	166
848	931	165
849	932	164
850	934	163
851	935	162
852	936	161
853	937	160
854	939	159
855	940	158
856	941	157
857	941	155
858	942	154
859	943	153
860	944	152
861	945	151
862	947	150
863	947	149
864	948	148
865	949	146
866	950	145
867	951	144
868	951	143
869	952	142
870	953	141
871	954	140
872	955	138
873	956	137
874	956	136
875	957	135
876	958	134
877	959	133
878	960	132
879	961	131
880	961	129
881	962	128
882	963	127
883	964	126
884	965	125
885	965	124
886	966	123
887	967	122
888	968	120
889	969	119
890	970	118
891	970	117
892	971	116
893	972	115
894	973	114
895	974	113
896	975	111
897	975	110
898	976	109
899	977	108
900	978	107
901	979	106
902	979	105
903	980	104
904	981	103
905	982	101
906	982	100
907	983	99
908	984	98
909	985	97
910	986	96
911	987	95
912	988	94
913	989	93
914	990	92
915	991	90
916	992	89
917	993	88
918	994	87
919	994	86
920	995	85
921	996	84
922	997	83
923	998	82
924	999	81
925	999	79
926	1000	78
927	1001	77
928	1002	76
929	1003	75
930	1004	74
931	1005	73
932	1006	72
933	1007	71
934	1008	70
935	1008	68
936	1009	67
937	1010	66
938	1011	65
939	1012	64
940	1013	63
941	1014	62
942	1015	61
943	1016	60
944	1017	59
945	1018	58
946	1019	57
947	1020	55
948	1020	54
949	1021	53
950	1022	52
951	1023	51
952	1024	50
953	1024	49
954	1025	48
955	1026	47
956	1027	46
957	1028	45
958	1028	43
959	1029	42
960	1030	41
961	1031	40
962	1032	39
963	1033	38
964	1034	37
965	1034	36
966	1035	35
967	1036	34
968	1037	33
969	1037	32
970	1038	31
971	1039	29
972	1040	28
973	1041	27
974	1042	26
975	1043	25
976	1044	24
977	1044	23
978	1045	22
979	1046	21
980	1047	20
981	1047	19
982	1048	18
983	1049	17
984	1050	15
985	1051	14
986	1052	13
987	1052	12
988	1053	11
989	1054	10
990	1055	9
991	1055	8
992	1056	7
993	1057	6
994	1065	5
995	1066	4
996	1067	3
997	1069	2
998	1070	1
999	1072	0
